CD ST-HENRI VILLE-EMARD,281211,PCA,2016/01/15,1,GST-QST Government remittance /GST/QST tax payments,,0.02,,,,,,1781.28
CD ST-HENRI VILLE-EMARD,281211,PCA,2016/01/15,2,Government remittance /Qc. deductions at source,,269.08,,,,,,1512.20
CD ST-HENRI VILLE-EMARD,281211,PCA,2016/01/15,3,Government remittance /Federal source deductions,,435.00,,,,,,1077.20
CD ST-HENRI VILLE-EMARD,281211,PCA,2016/01/15,4,Cheque,38,787.92,,,,,,289.28
CD ST-HENRI VILLE-EMARD,281211,PCA,2016/01/29,5,Fixed service charges,,4.95,,,,,,284.33
CD ST-HENRI VILLE-EMARD,281211,PCA,2016/02/02,1,Frais effet sans provision,,45.00,,,,,,239.33
CD ST-HENRI VILLE-EMARD,281211,PCA,2016/02/12,2,Investment /Tangerine,,,2000.00,,,,,2239.33
CD ST-HENRI VILLE-EMARD,281211,PCA,2016/02/12,3,Transfer,,787.92,,,,,,1451.41
CD ST-HENRI VILLE-EMARD,281211,PCA,2016/02/29,4,Fixed service charges,,4.95,,,,,,1446.46
CD ST-HENRI VILLE-EMARD,281211,PCA,2016/03/01,1,Cheque,40,787.92,,,,,,658.54
CD ST-HENRI VILLE-EMARD,281211,PCA,2016/03/28,2,Investment /Tangerine,,,1600,,,,,2258.54
CD ST-HENRI VILLE-EMARD,281211,PCA,2016/03/30,3,Cheque,41,787.92,,,,,,1470.62
CD ST-HENRI VILLE-EMARD,281211,PCA,2016/03/31,4,Fixed service charges,,4.95,,,,,,1465.67
CD ST-HENRI VILLE-EMARD,281211,PCA,2016/04/08,1,GST-QST Government remittance /GST/QST tax payments,,0.02,,,,,,1465.65
CD ST-HENRI VILLE-EMARD,281211,PCA,2016/04/08,2,Government remittance /Qc. deductions at source,,269.08,,,,,,1196.57
CD ST-HENRI VILLE-EMARD,281211,PCA,2016/04/08,3,Government remittance /Federal source deductions,,91.71,,,,,,1104.86
CD SUD-OUEST DE MONTREAL,0531211,PCA,2016/04/29,4,Cheque,42,787.92,,,,,,316.94
CD SUD-OUEST DE MONTREAL,0531211,PCA,2016/04/29,5,Fixed service charges,,4.95,,,,,,311.99
CD SUD-OUEST DE MONTREAL,0531211,PCA,2016/05/06,1,Investment /Tangerine,,,478.09,,,,,790.08
CD SUD-OUEST DE MONTREAL,0531211,PCA,2016/05/24,2,Investment /Tangerine,,,1000.00,,,,,1790.08
CD SUD-OUEST DE MONTREAL,0531211,PCA,2016/05/30,3,Cheque,43,787.92,,,,,,1002.16
CD SUD-OUEST DE MONTREAL,0531211,PCA,2016/05/31,4,Fixed service charges,,4.95,,,,,,997.21
CD SUD-OUEST DE MONTREAL,0531211,PCA,2016/06/30,1,Fixed service charges,,4.95,,,,,,992.26
CD SUD-OUEST DE MONTREAL,0531211,PCA,2016/07/29,1,Fixed service charges,,5.95,,,,,,986.31
CD SUD-OUEST DE MONTREAL,0531211,PCA,2016/08/31,1,Fixed service charges,,5.95,,,,,,980.36
CD SUD-OUEST DE MONTREAL,0531211,PCA,2016/09/30,1,Fixed service charges,,5.95,,,,,,974.41
CD SUD-OUEST DE MONTREAL,0531211,PCA,2016/10/31,1,Fixed service charges,,5.95,,,,,,968.46
CD SUD-OUEST DE MONTREAL,0531211,PCA,2016/11/30,1,Fixed service charges,,5.95,,,,,,962.51
CD SUD-OUEST DE MONTREAL,0531211,PCA,2016/12/15,1,Government remittance /Qc. deductions at source,,269.08,,,,,,693.43
CD SUD-OUEST DE MONTREAL,0531211,PCA,2016/12/15,2,GST-QST Government remittance /GST/QST tax payments,,0.02,,,,,,693.41
CD SUD-OUEST DE MONTREAL,0531211,PCA,2016/12/15,3,Government remittance /Federal source deductions,,91.71,,,,,,601.70
CD SUD-OUEST DE MONTREAL,0531211,PCA,2016/12/21,4,Transfer - AccesD - Internet (investissment Employee1),,,1000.00,,,,,1601.70
CD SUD-OUEST DE MONTREAL,0531211,PCA,2016/12/21,5,Transfer - AccesD - Internet (paie Employee17),,787.92,,,,,,813.78
CD SUD-OUEST DE MONTREAL,0531211,PCA,2016/12/30,6,Fixed service charges,,5.95,,,,,,807.83
